CategoryName;Novel
Action;Greatest Legacy of the Magus Universe;
Action;I Became a Genius Mage in the Cthulhu Game
Action;Advent of the Three Calamities;
Action;A Soldier's Life
Action;Doomsday Spiritual Artifact Master
Action;30 Years Have Passed Since the Prologue
Action;Solo Max-Level Newbie
Action;Chronicles of the Heavenly Demon
Action;The Academy’s Weapon Replicator
Action;System's POV
Action;An Extra’s POV
Adventure;Greatest Legacy of the Magus Universe
Adventure;I Became a Genius Mage in the Cthulhu Game
Adventure;A Soldier's Life
Adventure;Doomsday Spiritual Artifact Master
Adventure;30 Years Have Passed Since the Prologue
Adventure;Solo Max-Level Newbie
Adventure;Chronicles of the Heavenly Demon
Adventure;The Academy’s Weapon Replicator
Adventure;System's POV
Adventure;An Extra’s POV
Drama;A Painting of the Villainess as a Young Lady
Fantasy;Greatest Legacy of the Magus Universe
Fantasy;I Became a Genius Mage in the Cthulhu Game
Fantasy;Advent of the Three Calamities
Fantasy;A Soldier's Life
Fantasy;30 Years Have Passed Since the Prologue
Fantasy;A Painting of the Villainess as a Young Lady
Fantasy;Solo Max-Level Newbie
Fantasy;The Academy’s Weapon Replicator
Fantasy;System's POV
Fantasy;An Extra’s POV
Harem;30 Years Have Passed Since the Prologue
Harem;Solo Max-Level Newbie
Harem;The Academy’s Weapon Replicator
Harem;System's POV
Martial Arts
Mature;I Became a Genius Mage in the Cthulhu Game
Mature;A Soldier's Life
Tragedy;Advent of the Three Calamities
Xuanhuan
Ecchi
Comedy;Greatest Legacy of the Magus Universe
Comedy;Advent of the Three Calamities
Comedy;30 Years Have Passed Since the Prologue
Comedy;Solo Max-Level Newbie
Comedy;System's POV
Slice of Life;Advent of the Three Calamities
Slice of Life;A Soldier's Life
Mystery;I Became a Genius Mage in the Cthulhu Game
Mystery;30 Years Have Passed Since the Prologue
Supernatural;I Became a Genius Mage in the Cthulhu Game
Supernatural;Doomsday Spiritual Artifact Master
Supernatural;The Academy’s Weapon Replicator
Psychological
Sci-fi;Doomsday Spiritual Artifact Master
Xianxia
School Life;30 Years Have Passed Since the Prologue
School Life;The Academy’s Weapon Replicator
Josei
Wuxia;Chronicles of the Heavenly Demon
Shounen;The Academy’s Weapon Replicator
Horror;I Became a Genius Mage in the Cthulhu Game
Mecha
Historical;A Soldier's Life
Shoujo
Adult;A Soldier's Life
Seinen;Chronicles of the Heavenly Demon
Sports
Lolicon
Gender Bender
Shounen Ai
Yaoi
Video Games;Advent of the Three Calamities
Smut
Magical Realism;An Extra’s POV
Eastern Fantasy
Contemporary Romance
Fantasy Romance
Shoujo Ai
Yuri
Romance;Advent of the Three Calamities
Romance;Doomsday Spiritual Artifact Master
Romance;A Painting of the Villainess as a Young Lady
Romance;An Extra’s POV